,pct,alg,data,nClusters,nComponents,redenCl,gamma,avgNMI,stdNMI,avgPMI,stdPMI,avgF1,stdF1,avgCA,stdCA,avgARI
618,18.4,KPCA,ACM,1024,1000,sweep,0.03840749154252516,0.16602333647284281,0.00838907965652757,16.588710636580323,0.19193230692811564,0.2987179854152666,0.07896745720222839,0.2042783462328917,0.0008771036952008973,0.0012991984829865012
619,18.5,KPCA,ACM,1024,3,sweep,0.03840749154252516,0.17443032293187552,0.0010958429734789323,39.360484374877636,0.08919231248355466,0.01102994864473197,0.0007645742700237995,0.008049105776378504,4.982350150835621e-05,0.0022063571019177376
620,18.5,KPCA,ACM,1024,18,sweep,0.03840749154252516,0.20190381052812598,0.0018422782254211444,42.047022654999736,0.02675959255228246,0.05088859777633179,0.004302711850871485,0.0340012025012025,0.0005795319333641707,0.009368882931114358
621,18.5,KPCA,ACM,1024,1000,sweep,0.3840749154252516,0.15536809223891748,0.006662875212211505,21.494199693173762,0.34750976778433285,0.2157028612540158,0.05864132659111278,0.15528838165201803,0.00044177825364146177,0.0004124250235247452
622,18.5,KPCA,ACM,1024,3,sweep,0.3840749154252516,0.14875127554307646,0.0035723011180453053,32.686287073250114,0.2481304019530865,0.31357212079321495,0.05003794796723146,0.20690898159079976,0.0030891246672095094,0.017186855166702653
623,18.6,KPCA,ACM,1024,18,sweep,0.3840749154252516,0.16635800399367842,0.0012967552205881837,42.405131053560126,0.009923715519211857,0.3961683981752263,0.004732806049056776,0.25823448773448776,0.0005267161570918268,0.018264019368945634
624,18.6,KPCA,ACM,1024,1000,sweep,3.840749154252516,0.17374402507137454,0.009958416823389046,26.899098877387143,0.24758328690927622,0.3757618080475614,0.07450603449032699,0.24981636713454894,0.00323102888911782,0.009943943554877795
625,18.6,KPCA,ACM,1024,3,sweep,3.840749154252516,0.12186574053877104,0.0013318577859200741,27.398618602868815,0.08041192643493253,0.009620316771864635,0.0011818518706375066,0.006564344746162928,5.0895411061593706e-05,0.0008057149514585995
626,18.7,KPCA,ACM,1024,18,sweep,3.840749154252516,0.13362229103427029,0.0008903792370578295,23.599253022485303,0.08352868316664579,0.040781155602732676,0.004124154721436624,0.01877967991604355,0.000250302749257622,0.004259065577115543
627,18.7,KPCA,ACM,1024,1000,sweep,38.40749154252516,0.16198172696099836,0.004071677784980694,25.25125686185941,0.21529980831166617,0.2945898689869578,0.03832603190502041,0.20669069482705846,0.0013785003789464115,0.005768032283770484
628,18.7,KPCA,ACM,1024,3,sweep,38.40749154252516,0.11959124955645524,0.0016552032355663525,26.266806286067276,0.07961129081300936,0.007875222728601486,0.0007139367996473007,0.005927653154925883,4.7017772615657684e-05,0.0005359378805212441
629,18.8,KPCA,ACM,1024,18,sweep,38.40749154252516,0.14227937711529584,0.0012550264403548732,23.609241862391233,0.12383865708742292,0.05408349763929714,0.005460710575566569,0.023561174515719967,0.0003760367514579625,0.0063856325599562485
630,18.8,KSVD,ACM,3,1000,doc,3.840749154252516e-05,0.0012280692837020573,0.00018473596178785804,0.07777259503604014,0.01388523307006014,0.5861412517088761,0.01564804589628785,0.3329799728890638,0.00011628025936915277,2.6839203719318875e-05
631,18.8,KSVD,ACM,3,3,doc,3.840749154252516e-05,0.006363694120887331,0.003314526154889434,0.08465402007644354,0.0012166111364299327,0.5887663198386087,0.003459615837036197,0.3335310901219992,0.0004477697619741123,0.0007296583147860578
632,18.8,KSVD,ACM,3,18,doc,3.840749154252516e-05,0.0035637075051146347,0.004278616751645427,0.08250612063322424,0.002009567834559727,0.5921975720928948,0.0035309814301814624,0.3335880449516813,0.0005037845260736632,0.0002933589153391862
633,18.9,KSVD,ACM,3,1000,doc,0.0003840749154252516,0.0021357793301670187,0.0025668713631366554,0.0789839467881305,0.011765201535256887,0.5940012545573709,0.00024217187857890004,0.3336281866281866,0.00012273577094735883,-7.955547540182337e-05
634,18.9,KSVD,ACM,3,3,doc,0.0003840749154252516,0.0013652945466219955,8.549090826265836e-06,0.06764090193512551,0.010938416844616996,0.5939693072864483,3.8821864467575296e-06,0.33363072281254097,9.192905777120401e-06,5.480681626703433e-05
635,18.9,KSVD,ACM,3,18,doc,0.0003840749154252516,0.0013505779448891209,1.4580130846419257e-05,0.0794323247706042,0.007535251840413269,0.5939626693309978,6.551724998122574e-06,0.3336307884035157,1.5678210268195347e-05,3.8981885607848494e-05
636,19.0,KSVD,ACM,3,1000,doc,0.003840749154252516,0.0013965578182354135,0.0004221456534634929,0.0815241505712809,0.02416004901097997,0.5940171307357248,0.00033182950771641905,0.33363043858498403,5.450419749838727e-05,-4.850280138354666e-05
637,19.0,KSVD,ACM,3,3,doc,0.003840749154252516,0.0035914910748757597,0.002274848661882484,0.09578548327500866,0.010470343082661551,0.5938286868500902,0.00021462500666928662,0.3336272464908828,0.00011864704758215873,-0.00012217404617068548
638,19.0,KSVD,ACM,3,18,doc,0.003840749154252516,0.0012727236095133715,2.5786167334655403e-05,0.09215279269024501,0.01792074368352715,0.594104110493467,3.6095540620594826e-05,0.33363074467619924,2.8586305179456088e-05,-4.795673759863302e-05
639,19.0,KSVD,ACM,3,1000,doc,0.03840749154252516,0.0012558426004142492,0.0,0.07075350975707143,0.018311192633048024,0.5941277405716303,1.1102230246251565e-16,0.3336306790852245,1.3552527156068805e-20,-6.66708672163424e-05
640,19.1,KSVD,ACM,3,3,doc,0.03840749154252516,0.0012558426004142492,0.0,0.056100435244988714,0.003607149639716004,0.5941277405716303,1.1102230246251565e-16,0.3336306790852245,1.3552527156068805e-20,-6.66708672163424e-05
